resolution,scope,feature,lag,n,spearman_r,p,q_fdr
weekly,pooled,snow_over_2cm,0,335,-0.10093350079124602,0.06500902798543806,0.7919431528050608
weekly,gilde,tmin_under_3°C,0,172,-0.14089470325506254,0.065248758186284,0.7919431528050608
weekly,gilde,rain_over_5mm,2,170,0.1413712080124158,0.06592955807347048,0.7919431528050608
monthly,gilde,precip_over_5mm,2,39,0.29705103313230036,0.06629474351535437,0.7919431528050608
weekly,pooled,temp_mean_c_mean,0,335,0.10009052260847344,0.06729374965482343,0.7919431528050608
monthly,pooled,tmax_under_9°C,2,79,0.20571559858789193,0.06894156382425506,0.7919431528050608
weekly,pooled,tmean_under_6°C,2,331,0.10006746975263865,0.06902637662929598,0.7919431528050608
weekly,pooled,gust_over_70km/h,1,333,-0.0996403134130184,0.06937812091619737,0.7919431528050608
weekly,pooled,rain_over_5mm,2,331,0.09988090041390016,0.06954850023266514,0.7919431528050608
monthly,pooled,wind_max_kmh_mean,1,81,-0.2009936766034327,0.07198127357287604,0.7919431528050608
weekly,ummels,tmean_under_4°C,0,163,-0.14126241159583688,0.07207111970575536,0.7919431528050608
weekly,pooled,snow_over_1cm,1,333,-0.098519771553008,0.07258568734697056,0.7919431528050608
weekly,gilde,precip_over_2mm,1,171,-0.13756011446633448,0.0727848703462566,0.7919431528050608
monthly,pooled,tmax_under_3°C,1,81,0.20013698028027424,0.07322781405486922,0.7919431528050608
weekly,pooled,rain_over_8mm,2,331,0.09832618455902824,0.07402611000685792,0.7919431528050608
weekly,pooled,tmean_under_8°C,0,335,-0.09763388997012795,0.07432946689411088,0.7919431528050608
monthly,gilde,wind_over_35km/h,1,40,-0.28497095879606277,0.07469631109901188,0.7919431528050608
weekly,pooled,snow_over_2cm,1,333,-0.09776997047636893,0.07479873145885853,0.7919431528050608
monthly,pooled,rain_over_15mm,2,79,0.2014258152357856,0.07506469031994471,0.7919431528050608
monthly,pooled,tmax_over_27°C,2,79,-0.20079130991438462,0.07600622857602796,0.7919431528050608
weekly,ummels,temp_max_c_max,0,163,0.13877237161243453,0.0772868476898143,0.7919431528050608
monthly,pooled,tmean_under_6°C,2,79,0.19979570624751455,0.07750261145979959,0.7919431528050608
weekly,ummels,tmax_over_25°C,2,161,0.1394527933600699,0.07768123111555968,0.7919431528050608
weekly,pooled,wind_over_30km/h,0,335,-0.09632038860799948,0.07833011273779172,0.7919431528050608
weekly,ummels,tmax_over_22°C,2,161,0.1390790778134896,0.07848806635738172,0.7919431528050608
monthly,pooled,tmax_under_5°C,2,79,0.19910712017137902,0.07855124404193076,0.7919431528050608
monthly,pooled,precip_over_1mm,2,79,0.1987351592696134,0.07912238583883441,0.7919431528050608
weekly,ummels,gust_over_40km/h,0,163,-0.13746679612008836,0.08014092780712094,0.7949113650057671
